Date,Beans,Nuwaraeliya Carrot,Cabbage,Tomato,Brinjal,Pumpkin - Big,Snake Gourd,Lime,Red Onion- Lanka,Red Onion Import,Potatoes - Nuwaraeliya,Potatoes - Import
3/6/2015,140,95,33,45,60,68,45,,,,,
3/7/2015,,,,,,,,,,,,
3/8/2015,,,,,,,,,,,,
3/9/2015,120,95,33,55,45,68,48,,,,,
3/10/2015,,,,,,,,,,,,
3/11/2015,110,93,33,43,40,64,40,,,,88,
3/12/2015,110,95,38,38,40,60,40,,65,,88,
3/13/2015,108,88,35,35,48,65,38,,60,,88,
3/14/2015,,,,,,,,,,,,
3/15/2015,,,,,,,,,,,,
3/16/2015,90,88,30,40,40,60,30,,50,,93,
3/17/2015,88,85,30,40,45,53,33,,50,,93,
3/18/2015,88,80,28,43,43,53,33,,65,,98,
3/19/2015,80,75,25,40,33,48,28,,45,,88,
3/20/2015,85,75,35,40,38,55,28,,65,,90,
3/21/2015,,,,,,,,,,,,
3/22/2015,,,,,,,,,,,,
3/23/2015,,,,,,,,,,,,
3/24/2015,80,110,35,65,33,48,28,,55,,98,
3/25/2015,70,115,33,58,38,58,23,,58,,95,
3/26/2015,53,125,30,63,30,38,23,,65,,95,
3/27/2015,48,115,30,50,28,30,21,,63,,93,
3/28/2015,,,,,,,,,,,,
3/29/2015,,,,,,,,,,,,
3/30/2015,,,,,,,,,,,,
3/31/2015,43,110,35,38,25,18,13,,55,,83,
4/1/2015,35,95,30,38,20,23,15,,65,,90,
4/2/2015,35,98,33,30,15,23,11,,63,,83,
4/3/2015,,,,,,,,,,,,
4/4/2015,,,,,,,,,,,,
4/5/2015,,,,,,,,,,,,
4/6/2015,40,95,28,38,18,20,15,,65,,93,
4/7/2015,38,110,28,35,23,18,13,,60,,93,
4/8/2015,40,120,30,43,35,15,13,,68,,80,
4/9/2015,48,115,28,48,43,15,13,,68,,85,
4/10/2015,88,110,15,58,53,18,13,,65,,93,
4/11/2015,,,,,,,,,,,,
4/12/2015,,,,,,,,,,,,
4/13/2015,,,,,,,,,,,,
4/14/2015,,,,,,,,,,,,
4/15/2015,,,,,,,,,,,,
4/16/2015,,,,,,,,,,,,
4/17/2015,,,,,,,,,,,,
4/18/2015,,,,,,,,,,,,
4/19/2015,,,,,,,,,,,,
4/20/2015,,,,,,,,,,,,
4/21/2015,38,110,23,14,15,13,13,,70,,78,
4/22/2015,,,,,,,,,,,,
4/23/2015,75,118,18,18,14,13,14,,58,,68,
4/24/2015,100,115,23,28,28,20,23,,48,,78,
4/25/2015,,,,,,,,,,,,
4/26/2015,,,,,,,,,,,,
4/27/2015,103,90,25,28,23,17,28,,65,,78,
4/28/2015,85,88,18,22,25,18,33,,63,,85,
4/29/2015,,,25,,25,,,,,,,
4/30/2015,95,95,25,38,28,14,33,,60,,93,
5/1/2015,,,,,,,,,,,,
5/2/2015,,,,,,,,,,,,
5/3/2015,,,,,,,,,,,,
5/4/2015,,,,,,,,,,,,
5/5/2015,,,,,,,,,,,,
5/6/2015,100,85,23,35,35,19,28,,73,,90,
5/7/2015,85,100,25,38,40,16,30,,75,,93,
5/8/2015,95,95,35,28,30,14,38,,65,,95,
5/9/2015,,,,,,,,,,,,
5/10/2015,,,,,,,,,,,,
5/11/2015,85,95,30,43,28,16,43,,73,,95,
5/12/2015,78,95,38,38,45,14,45,,73,,105,
5/13/2015,80,83,30,45,48,14,45,,68,,103,
5/14/2015,100,90,33,38,43,14,48,,83,,95,
5/15/2015,90,88,33,35,43,14,43,,63,,95,
5/16/2015,,,,,,,,,,,,
5/17/2015,,,,,,,,,,,,
5/18/2015,113,115,44,33,43,13,55,,73,88,95,
5/19/2015,128,140,53,38,43,13,53,,88,95,98,
5/20/2015,125,138,50,28,33,13,63,,83,88,98,
5/21/2015,125,165,53,28,40,13,58,,78,95,103,
5/22/2015,105,170,53,30,33,13,63,,70,95,103,
5/23/2015,,,,,,,,,,,,
5/24/2015,,,,,,,,,,,,
5/25/2015,135,145,55,35,38,11,68,,83,,108,
5/26/2015,140,145,60,58,45,,70,,93,105,108,
5/27/2015,138,145,55,25,45,13,58,,95,103,108,
5/28/2015,143,150,60,28,45,13,58,,85,98,108,
5/29/2015,115,140,58,23,48,13,68,,85,98,108,
5/30/2015,,,,,,,,,,,,
5/31/2015,,,,,,,,,,,,
6/1/2015,135,163,63,28,45,11,48,,75,103,108,
6/2/2015,,,,,,,,,,,,
6/3/2015,125,210,75,18,45,11,55,,88,105,108,
6/4/2015,,,,,,,,,,,,
6/5/2015,125,175,55,25,43,13,68,,83,103,105,
6/6/2015,,,,,,,,,,,,
6/7/2015,,,,,,,,,,,,
6/8/2015,135,185,65,38,55,14,50,,,95,113,
6/9/2015,125,160,55,38,55,11,58,,95,,108,
6/10/2015,135,178,53,30,53,10,55,,,,108,
6/11/2015,170,175,60,38,55,11,48,,125,128,103,
6/12/2015,160,210,70,40,53,13,48,,115,125,108,
6/13/2015,,,,,,,,,,,,
6/14/2015,,,,,,,,,,,,
6/15/2015,185,213,55,40,53,14,53,,110,,123,
6/16/2015,170,200,50,43,45,15,55,,110,110,120,
6/17/2015,175,190,55,38,50,13,45,,105,115,125,
6/18/2015,155,205,48,40,43,13,48,,95,118,130,
6/19/2015,190,205,45,43,45,14,43,,115,115,133,
6/20/2015,,,,,,,,,,,,
6/21/2015,,,,,,,,,,,,
6/22/2015,185,190,40,48,28,13,43,,110,113,118,
6/23/2015,200,180,48,48,33,18,38,,110,103,125,
6/24/2015,210,195,43,50,33,14,35,,105,115,120,
6/25/2015,210,195,43,50,33,14,35,,105,115,120,
6/26/2015,190,205,38,53,28,14,40,,110,115,110,
6/27/2015,,,,,,,,,,,,
6/28/2015,,,,,,,,,,,,
6/29/2015,160,210,45,68,23,14,43,,91,125,125,
6/30/2015,145,195,33,50,15,15,38,,130,,128,
7/1/2015,,,,,,,,,,,,
7/2/2015,135,205,38,40,18,15,33,,108,,123,
7/3/2015,125,190,40,38,23,14,38,,125,,125,
7/4/2015,,,,,,,,,,,,
7/5/2015,,,,,,,,,,,,
7/6/2015,130,168,40,53,23,19,35,,120,110,115,
7/7/2015,145,153,40,60,18,18,43,,113,,123,
7/8/2015,105,130,38,58,18,19,43,,140,,118,
7/9/2015,100,118,38,65,18,25,45,,143,,118,
7/10/2015,85,115,38,65,18,23,33,,135,,115,
7/11/2015,,,,,,,,,,,,
7/12/2015,,,,,,,,,,,,
7/13/2015,130,150,40,103,20,20,40,,133,,115,
7/14/2015,125,170,40,98,28,22,38,,135,,118,
7/15/2015,125,160,40,105,25,25,43,,143,,108,
7/16/2015,130,163,38,105,28,23,38,,138,,113,
7/17/2015,140,150,38,115,35,22,43,,143,,118,
7/18/2015,,,,,,,,,,,,
7/19/2015,,,,,,,,,,,,
7/20/2015,125,145,45,75,40,23,33,,138,,118,
7/21/2015,130,135,40,73,33,23,33,,138,,115,
7/22/2015,125,120,38,68,30,25,28,,135,,115,
7/23/2015,135,115,38,68,45,23,30,,130,,113,
7/24/2015,125,115,35,75,48,23,28,,110,,115,
7/25/2015,,,,,,,,,,,,
7/26/2015,,,,,,,,,,,,
7/27/2015,145,130,43,85,53,38,38,,90,,113,
7/28/2015,155,133,43,88,43,38,35,,78,,113,
7/29/2015,140,135,40,75,50,38,33,,65,83,105,
7/30/2015,125,130,45,95,58,43,38,,85,,105,
7/31/2015,,,,,,,,,,,,
8/1/2015,,,,,,,,,,,,
8/2/2015,,,,,,,,,,,,
8/3/2015,125,133,45,53,35,33,33,,85,,105,
8/4/2015,110,120,50,63,28,38,38,,95,,103,
8/5/2015,110,115,53,58,43,38,33,,78,,113,
8/6/2015,105,125,48,53,40,35,33,,75,,113,
8/7/2015,110,105,40,48,38,33,29,,78,,113,
8/8/2015,,,,,,,,,,,,
8/9/2015,,,,,,,,,,,,
8/10/2015,105,95,45,48,43,23,33,,65,,113,
8/11/2015,115,90,35,40,38,33,33,,65,,113,
8/12/2015,118,98,45,43,50,28,33,,68,,110,
8/13/2015,95,95,50,40,48,28,28,,73,,113,
8/14/2015,98,125,48,43,45,28,33,,60,,108,
8/15/2015,,,,,,,,,,,,
8/16/2015,,,,,,,,,,,,
8/17/2015,75,128,45,35,40,23,23,,78,,113,
8/18/2015,,,,,,,,,,,,
8/19/2015,,,,,,,,,,,,
8/20/2015,110,130,50,43,58,33,33,,83,,113,
8/21/2015,90,100,33,35,43,35,28,,75,,105,
8/22/2015,,,,,,,,,,,,
8/23/2015,,,,,,,,,,,,
8/24/2015,120,100,40,43,45,28,40,,75,,103,
8/25/2015,125,88,33,43,38,28,33,,78,,98,
8/26/2015,105,88,38,45,45,30,28,,78,,98,
8/27/2015,105,93,40,35,48,28,28,,78,,93,
8/28/2015,105,93,40,38,45,28,28,,68,,95,
8/29/2015,,,,,,,,,,,,
8/30/2015,,,,,,,,,,,,
8/31/2015,113,100,38,35,58,28,35,,80,,95,
9/1/2015,120,98,38,38,45,28,38,,73,,103,
9/2/2015,100,100,35,38,48,28,38,,73,,103,
9/3/2015,110,85,30,30,55,28,40,,73,,103,
9/4/2015,103,80,33,38,40,33,33,,78,,98,
9/5/2015,,,,,,,,,,,,
9/6/2015,,,,,,,,,,,,
9/7/2015,105,88,33,35,43,28,33,,75,,103,
9/8/2015,100,70,30,28,48,23,28,,73,,98,
9/9/2015,93,73,28,30,55,23,30,,83,,98,
9/10/2015,98,70,30,33,50,23,33,,78,,103,
9/11/2015,103,80,38,33,53,23,33,,83,,100,
9/12/2015,,,,,,,,,,,,
9/13/2015,,,,,,,,,,,,
9/14/2015,105,78,35,40,60,28,35,,78,,95,
9/15/2015,105,65,28,50,50,36,33,,68,,98,
9/16/2015,110,73,30,48,55,25,38,,83,,100,
9/17/2015,105,78,35,48,55,30,38,,83,,103,
9/18/2015,110,80,38,58,58,28,38,,80,,98,
9/19/2015,,,,,,,,,,,,
9/20/2015,,,,,,,,,,,,
9/21/2015,110,78,28,48,48,33,38,,68,,98,
9/22/2015,110,68,28,55,53,35,38,,75,,85,
9/23/2015,120,78,28,60,58,28,40,,78,,83,
9/24/2015,,,,,,,,,,,,
9/25/2015,100,73,25,55,55,33,43,,83,,93,
9/26/2015,,,,,,,,,,,,
9/27/2015,,,,,,,,,,,,
9/28/2015,115,78,35,65,53,33,38,,93,,103,
9/29/2015,105,55,35,53,45,30,43,,85,,100,
9/30/2015,85,60,28,55,55,33,38,,103,,95,
10/1/2015,95,60,30,58,43,33,38,,95,,90,
10/2/2015,98,50,30,60,48,32,35,,95,,93,
10/3/2015,,,,,,,,,,,,
10/4/2015,,,,,,,,,,,,
10/5/2015,90,63,28,60,40,25,43,,98,,93,
10/6/2015,110,58,30,65,45,37,43,,95,,85,
10/7/2015,120,73,28,63,48,25,40,,95,,85,
10/8/2015,115,53,30,53,43,40,38,,95,,93,
10/9/2015,120,73,28,63,48,25,40,,95,,70,
10/10/2015,,,,,,,,,,,,
10/11/2015,,,,,,,,,,,,
10/12/2015,115,73,38,53,45,30,45,,98,,98,
10/13/2015,135,63,35,63,43,33,40,,113,,98,
10/14/2015,145,68,35,63,45,28,45,,113,,98,
10/15/2015,100,58,30,55,40,30,43,,115,,105,
10/16/2015,115,58,35,60,38,33,38,,118,,103,
10/17/2015,,,,,,,,,,,,
10/18/2015,,,,,,,,,,,,
10/19/2015,90,58,25,63,43,30,43,,105,113,103,
10/20/2015,100,63,33,55,35,28,43,,95,118,95,
10/21/2015,100,63,40,58,33,29,43,,105,105,90,
10/22/2015,110,70,45,60,43,33,43,,108,105,103,
10/23/2015,95,68,40,60,45,30,43,,105,105,103,
10/24/2015,,,,,,,,,,,,
10/25/2015,,,,,,,,,,,,
10/26/2015,115,125,60,63,53,33,45,,110,113,110,
10/27/2015,,,,,,,,,,,,
10/28/2015,,,,,,,,,,,,
10/29/2015,115,148,65,63,53,43,45,,125,115,138,
10/30/2015,115,125,40,68,45,43,53,,105,,125,
10/31/2015,,,,,,,,,,,,
11/1/2015,,,,,,,,,,,,
11/2/2015,168,150,48,83,48,38,58,,115,115,123,
11/3/2015,170,145,65,73,58,38,53,,105,113,118,
11/4/2015,165,120,70,73,48,35,70,,105,118,118,
11/5/2015,190,140,60,75,55,33,58,,105,113,110,
11/6/2015,150,145,80,95,68,23,68,,105,113,115,
11/7/2015,,,,,,,,,,,,
11/8/2015,,,,,,,,,,,,
11/9/2015,185,145,90,105,60,30,75,,115,115,115,
11/10/2015,,,,,,,,,,,,
11/11/2015,210,185,100,133,93,48,78,,125,135,130,
11/12/2015,225,175,105,130,80,35,75,,125,133,130,
11/13/2015,220,200,133,105,100,35,80,,130,135,130,
11/14/2015,,,,,,,,,,,,
11/15/2015,,,,,,,,,,,,
11/16/2015,175,200,110,100,85,35,78,,120,130,125,
