date,City,temperature_2m_mean,wind_speed_10m_mean,relative_humidity_2m_mean,precipitation_sum
2015-01-01,Ampara District,25.949081,5.0696406,85.30556,1.6
2015-01-01,Anuradhapura District,25.315416,7.639929,86.97485,2.1
2015-01-01,Badulla District,22.148499,4.273004,88.75314,2.3
2015-01-01,Batticaloa District,25.847664,4.15278,86.518654,2.1
2015-01-01,Colombo District,25.782084,5.121104,88.26594,0.5
2015-01-01,Galle District,26.882082,8.3816185,86.12552,0.4
2015-01-01,Gampaha District,25.568167,5.824127,88.63912,1.4000001
2015-01-01,Hambantota District,26.071253,9.373841,86.81103,0.70000005
2015-01-01,Jaffna District,25.764084,7.565187,88.49987,0.90000004
2015-01-01,Kalutara District,24.672003,4.3724475,89.777405,0.8000001
2015-01-01,Kandy District,22.841333,4.413328,90.75114,2.9
2015-01-01,Kegalle District,23.521334,4.8429813,91.55259,2.4
2015-01-01,Kilinochchi District,25.540419,7.5036893,88.72781,0.2
2015-01-01,Mannar District,25.969248,12.145123,84.886246,0.70000005
2015-01-01,Matale District,24.1195,5.6653786,88.68737,2.4
2015-01-01,Matara District,25.682917,8.3816185,88.30779,0.4
2015-01-01,Monaragala District,25.048836,4.3221717,85.30131,1.5
2015-01-01,Mullaitivu District,25.700335,6.3022118,87.87582,1.2
2015-01-01,Nuwara Eliya District,17.000668,2.6559744,91.11657,3.7
2015-01-01,Polonnaruwa District,25.597754,4.5915174,85.9858,2.9
2015-01-01,Puttalam District,25.555494,7.0632777,87.98461,1.0
2015-01-01,Ratnapura district,24.600336,4.3724475,92.228096,0.8000001
2015-01-01,Trincomalee District,25.991583,4.3729687,85.56278,1.3
2015-01-01,Vavuniya District,25.254168,6.818811,87.79297,1.4000001
2015-01-02,Ampara District,25.813667,4.628951,85.72822,1.3000001
2015-01-02,Anuradhapura District,25.527914,5.2880664,80.73767,0.0
2015-01-02,Badulla District,22.24225,4.400702,85.83935,0.3
2015-01-02,Batticaloa District,25.872665,5.2752104,86.69851,2.1000001
2015-01-02,Colombo District,25.542498,6.1613803,82.319786,0.0
2015-01-02,Galle District,26.902918,9.5594,81.706635,0.0
2015-01-02,Gampaha District,25.536919,5.7287593,82.607994,0.0
2015-01-02,Hambantota District,26.025421,6.615318,84.01969,0.1
2015-01-02,Jaffna District,26.153666,7.771279,83.44105,0.6
2015-01-02,Kalutara District,24.455336,6.137921,84.15634,0.0
2015-01-02,Kandy District,22.851748,4.2187715,84.51952,0.0
2015-01-02,Kegalle District,23.571335,4.5081315,84.12543,0.0
2015-01-02,Kilinochchi District,25.686247,6.8652425,84.72218,0.0
2015-01-02,Mannar District,25.865082,10.742442,81.93654,0.0
2015-01-02,Matale District,24.45283,4.405489,81.54065,0.0
2015-01-02,Matara District,25.82875,9.5594,83.0064,0.0
2015-01-02,Monaragala District,25.040504,3.537287,83.77512,0.4
2015-01-02,Mullaitivu District,25.781584,6.9729714,85.97678,1.2
2015-01-02,Nuwara Eliya District,17.129833,2.2256074,82.4687,0.0
2015-01-02,Polonnaruwa District,25.5165,5.070405,83.74287,0.5
2015-01-02,Puttalam District,25.876333,6.049387,82.04417,0.0
2015-01-02,Ratnapura district,24.354502,6.137921,85.20226,0.0
2015-01-02,Trincomalee District,25.685335,4.400191,86.46323,2.4
2015-01-02,Vavuniya District,25.252085,5.2783093,83.531,0.1
2015-01-03,Ampara District,26.061583,5.8737717,84.99131,0.0
2015-01-03,Anuradhapura District,26.144583,4.0193806,80.82297,0.5
2015-01-03,Badulla District,23.086,2.9376268,83.96934,1.9000001
2015-01-03,Batticaloa District,26.101831,6.625734,85.92342,0.0
2015-01-03,Colombo District,25.638334,5.195925,80.56153,0.0
2015-01-03,Galle District,26.78625,5.770756,81.81753,0.8
2015-01-03,Gampaha District,25.684832,4.730578,81.13417,0.0
2015-01-03,Hambantota District,26.246248,6.195349,84.24489,1.2
2015-01-03,Jaffna District,26.232832,11.100533,85.74188,0.0
2015-01-03,Kalutara District,25.019915,4.6448255,82.14652,0.0
